epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
8,0.146237,1.056510,2.00e-04,37.3,0.146237
9,0.144349,1.040066,2.00e-04,37.3,0.144349
10,0.142715,1.028476,2.00e-04,37.3,0.142715
11,0.140835,1.017126,2.00e-04,37.3,0.140835
12,0.139887,1.006121,2.00e-04,37.3,0.139887
13,0.138200,0.998952,2.00e-04,37.3,0.138200
14,0.136904,0.989814,2.00e-04,37.3,0.136904
15,0.135636,0.984449,2.00e-04,37.3,0.135636
16,0.134547,0.976871,2.00e-04,37.3,0.134547
17,0.132641,0.972062,2.00e-04,37.3,0.132641
18,0.131932,0.967976,2.00e-04,37.3,0.131932
19,0.130106,0.961680,2.00e-04,37.3,0.130106
20,0.127271,0.957337,2.00e-04,37.3,0.127271
21,0.125989,0.955200,2.00e-04,37.3,0.125989
22,0.122791,0.952076,2.00e-04,37.3,0.122791
23,0.119293,0.948082,2.00e-04,37.3,0.119293
24,0.115449,0.943951,2.00e-04,37.3,0.115449
25,0.112536,0.940440,2.00e-04,37.3,0.112536
26,0.107949,0.935183,2.00e-04,37.3,0.107949
27,0.104285,0.929715,2.00e-04,37.3,0.104285
28,0.099664,0.926579,2.00e-04,37.3,0.099664
29,0.094996,0.921097,2.00e-04,37.3,0.094996
30,0.091037,0.917427,2.00e-04,37.3,0.091037
31,0.086464,0.911193,2.00e-04,37.3,0.086464
32,0.083155,0.908875,2.00e-04,37.3,0.083155
33,0.081197,0.903690,2.00e-04,37.3,0.081197
34,0.077814,0.897667,2.00e-04,37.3,0.077814
35,0.074363,0.891725,2.00e-04,37.3,0.074363
36,0.072122,0.887931,2.00e-04,37.3,0.072122
37,0.070128,0.882399,2.00e-04,37.3,0.070128
38,0.069492,0.879647,2.00e-04,37.3,0.069492
39,0.067746,0.874684,2.00e-04,37.3,0.067746
40,0.066982,0.871351,2.00e-04,37.4,0.066982
41,0.065856,0.866000,2.00e-04,37.4,0.065856
42,0.065938,0.866276,2.00e-04,37.3,0.065856
43,0.064522,0.861743,2.00e-04,37.2,0.064522
44,0.063482,0.859240,2.00e-04,37.3,0.063482
45,0.063586,0.857664,2.00e-04,37.3,0.063482
46,0.062482,0.853538,2.00e-04,37.3,0.062482
47,0.062660,0.851149,2.00e-04,37.3,0.062482
48,0.061956,0.849677,2.00e-04,37.4,0.061956
49,0.060437,0.845595,2.00e-04,37.3,0.060437
50,0.061124,0.845093,2.00e-04,37.3,0.060437
51,0.059746,0.840500,1.96e-04,37.3,0.059746
52,0.059178,0.838222,1.92e-04,37.3,0.059178
53,0.058241,0.833885,1.88e-04,37.4,0.058241
54,0.058629,0.832730,1.84e-04,37.3,0.058241
55,0.056297,0.825627,1.80e-04,37.4,0.056297
56,0.055325,0.823513,1.76e-04,37.3,0.055325
57,0.055301,0.820017,1.72e-04,37.3,0.055325
58,0.054705,0.816742,1.68e-04,37.3,0.054705
59,0.054291,0.813148,1.64e-04,37.3,0.054291
60,0.053561,0.811192,1.60e-04,37.3,0.053561
61,0.052492,0.807003,1.56e-04,37.3,0.052492
62,0.052687,0.804806,1.52e-04,37.3,0.052492
63,0.051543,0.802374,1.48e-04,37.3,0.051543
64,0.051081,0.799828,1.44e-04,37.3,0.051081
65,0.049945,0.796952,1.40e-04,37.4,0.049945
66,0.050434,0.794966,1.36e-04,37.3,0.049945
67,0.049168,0.790111,1.32e-04,37.4,0.049168
68,0.049433,0.789957,1.28e-04,37.3,0.049168
69,0.048396,0.786316,1.24e-04,37.3,0.048396
70,0.047913,0.784026,1.20e-04,41.2,0.047913
71,0.047372,0.781539,1.16e-04,37.4,0.047372
72,0.046980,0.777936,1.12e-04,37.3,0.046980
73,0.047105,0.777269,1.08e-04,37.4,0.046980
74,0.046292,0.775082,1.04e-04,37.3,0.046292
75,0.045749,0.772100,1.00e-04,37.3,0.045749
76,0.045504,0.769612,9.60e-05,37.4,0.045504
77,0.045300,0.768134,9.20e-05,37.4,0.045300
78,0.044618,0.765528,8.80e-05,37.3,0.044618
79,0.044449,0.763567,8.40e-05,37.3,0.044449
80,0.044230,0.762031,8.00e-05,37.3,0.044230
81,0.043472,0.758985,7.60e-05,37.3,0.043472
82,0.042987,0.756904,7.20e-05,37.3,0.042987
83,0.042363,0.753860,6.80e-05,37.3,0.042363
84,0.042139,0.752377,6.40e-05,37.4,0.042139
85,0.041948,0.750388,6.00e-05,37.3,0.041948
