epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
47,0.139593,0.865060,2.00e-04,31.1,0.139616
48,0.140050,0.867450,2.00e-04,31.1,0.139616
49,0.139583,0.865803,2.00e-04,31.2,0.139616
50,0.139911,0.865402,2.00e-04,31.1,0.139616
1,0.001587,0.011477,2.00e-04,96.9,0.001587
2,0.001688,0.011589,2.00e-04,81.8,0.001587
3,0.001697,0.011568,2.00e-04,83.0,0.001587
4,0.001678,0.011449,2.00e-04,83.1,0.001587
5,0.001692,0.011502,2.00e-04,81.9,0.001587
6,0.001708,0.011553,2.00e-04,82.3,0.001587
7,0.001692,0.011425,2.00e-04,83.0,0.001587
8,0.001702,0.011522,2.00e-04,82.5,0.001587
9,0.001706,0.011527,2.00e-04,82.9,0.001587
10,0.001686,0.011327,2.00e-04,82.6,0.001587
11,0.001708,0.011523,2.00e-04,82.2,0.001587
12,0.001677,0.011387,2.00e-04,82.4,0.001587
13,0.001655,0.011334,2.00e-04,82.5,0.001587
14,0.001677,0.011424,2.00e-04,82.9,0.001587
15,0.001664,0.011392,2.00e-04,82.5,0.001587
16,0.001709,0.011526,2.00e-04,82.2,0.001587
17,0.001710,0.011510,2.00e-04,81.7,0.001587
18,0.001708,0.011478,2.00e-04,82.1,0.001587
19,0.001709,0.011478,2.00e-04,82.5,0.001587
20,0.001703,0.011457,2.00e-04,83.0,0.001587
21,0.001709,0.011485,2.00e-04,81.8,0.001587
1,0.154071,1.070979,2.00e-04,97.1,0.154071
2,0.152206,1.055366,2.00e-04,81.3,0.152206
3,0.151518,1.047347,2.00e-04,81.0,0.151518
4,0.151500,1.043892,2.00e-04,80.9,0.151518
5,0.151133,1.038712,2.00e-04,81.3,0.151133
6,0.150460,1.033505,2.00e-04,80.4,0.150460
7,0.150379,1.027114,2.00e-04,80.5,0.150460
8,0.150347,1.022086,2.00e-04,79.8,0.150347
9,0.150519,1.024351,2.00e-04,81.6,0.150347
10,0.150367,1.017472,2.00e-04,82.6,0.150347
11,0.150313,1.018125,2.00e-04,80.6,0.150347
12,0.150200,1.014330,2.00e-04,81.0,0.150200
13,0.149785,1.010949,2.00e-04,80.4,0.149785
14,0.150002,1.008925,2.00e-04,80.4,0.149785
15,0.149932,1.008658,2.00e-04,81.8,0.149785
16,0.149889,1.009650,2.00e-04,80.2,0.149785
17,0.149889,1.010688,2.00e-04,80.3,0.149785
18,0.149936,1.007814,2.00e-04,80.9,0.149785
19,0.149811,1.002252,2.00e-04,81.9,0.149785
20,0.149595,1.000046,2.00e-04,81.4,0.149595
21,0.149617,1.002337,2.00e-04,81.9,0.149595
22,0.149792,1.004798,2.00e-04,80.6,0.149595
23,0.149938,1.005543,2.00e-04,81.5,0.149595
24,0.149270,0.999554,2.00e-04,80.4,0.149270
25,0.150019,1.002333,2.00e-04,81.6,0.149270
26,0.149658,0.999214,2.00e-04,81.8,0.149270
27,0.149660,0.998225,2.00e-04,80.2,0.149270
28,0.149765,1.001119,2.00e-04,82.5,0.149270
29,0.149195,0.991739,2.00e-04,82.4,0.149270
30,0.149550,0.994939,2.00e-04,80.8,0.149270
31,0.149564,0.997937,2.00e-04,83.0,0.149270
32,0.149645,0.995962,2.00e-04,82.5,0.149270
33,0.149823,0.994712,2.00e-04,82.8,0.149270
34,0.149409,0.990179,2.00e-04,83.7,0.149270
35,0.149684,0.995947,2.00e-04,82.8,0.149270
36,0.149688,0.995879,2.00e-04,82.9,0.149270
37,0.149565,0.993178,2.00e-04,83.7,0.149270
38,0.149488,0.993395,2.00e-04,82.8,0.149270
39,0.149361,0.988955,2.00e-04,83.3,0.149270
40,0.149399,0.989971,2.00e-04,82.8,0.149270
41,0.149622,0.992005,2.00e-04,82.9,0.149270
42,0.149318,0.987540,2.00e-04,82.6,0.149270
43,0.149555,0.990868,2.00e-04,82.8,0.149270
44,0.149568,0.991167,2.00e-04,82.5,0.149270
1,0.153773,1.073482,2.00e-04,138.9,0.153773
2,0.151869,1.053395,2.00e-04,127.5,0.151869
3,0.151674,1.047882,2.00e-04,126.8,0.151674
4,0.151280,1.039709,2.00e-04,127.0,0.151280
5,0.151013,1.035420,2.00e-04,126.9,0.151013
6,0.150748,1.025952,2.00e-04,126.7,0.150748
7,0.150745,1.026266,2.00e-04,126.5,0.150748
8,0.150459,1.020639,2.00e-04,126.3,0.150459
9,0.150561,1.023748,2.00e-04,127.2,0.150459
10,0.150153,1.016185,2.00e-04,127.2,0.150153
11,0.150467,1.020494,2.00e-04,126.6,0.150153
12,0.150287,1.016898,2.00e-04,126.9,0.150153
13,0.150047,1.015953,2.00e-04,126.6,0.150047
14,0.150056,1.012112,2.00e-04,127.1,0.150047
15,0.150313,1.010365,2.00e-04,126.9,0.150047
16,0.149842,1.009207,2.00e-04,126.5,0.149842
17,0.149921,1.005066,2.00e-04,126.0,0.149842
18,0.149998,1.007591,2.00e-04,126.7,0.149842
19,0.149426,1.001910,2.00e-04,126.8,0.149426
20,0.149870,1.003990,2.00e-04,126.7,0.149426
21,0.150099,1.005314,2.00e-04,126.8,0.149426
22,0.149790,1.003384,2.00e-04,127.1,0.149426
23,0.149797,0.999745,2.00e-04,126.1,0.149426
24,0.149705,0.998070,2.00e-04,127.1,0.149426
25,0.149397,0.999706,2.00e-04,126.7,0.149426
26,0.149645,0.999726,2.00e-04,126.6,0.149426
27,0.149976,1.000335,2.00e-04,126.8,0.149426
28,0.149680,0.998282,2.00e-04,126.7,0.149426
29,0.149685,0.998678,2.00e-04,126.9,0.149426
30,0.149736,0.998152,2.00e-04,126.5,0.149426
31,0.149986,1.001931,2.00e-04,126.7,0.149426
32,0.149898,1.000051,2.00e-04,127.0,0.149426
33,0.149660,0.999823,2.00e-04,127.1,0.149426
34,0.149805,0.996104,2.00e-04,127.0,0.149426
35,0.149858,0.996753,2.00e-04,126.3,0.149426
36,0.149595,0.991564,2.00e-04,127.0,0.149426
37,0.149472,0.991315,2.00e-04,126.6,0.149426
38,0.149327,0.992741,2.00e-04,126.5,0.149426
39,0.149510,0.997332,2.00e-04,126.3,0.149426
1,0.154437,1.068881,2.00e-04,158.5,0.154437
2,0.151579,1.050166,2.00e-04,123.5,0.151579
